OTU_ID	Taxon	TC10-1	TC10-2	TC10-3	TC50-1	TC50-2	TC50-3	TC25-1	TC25-2	TC25-3	CK-1	CK-2	CK-3
OTU115	r__Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	565.4224995	572.4544506	601.9653919	570.7437677	571.5228739	602.7113506	495.4712317	461.0434501	465.348112	544.2274655	512.3023698	502.9357102
OTU116	r__Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	204746.0113	195276.2801	203295.4737	180674.6179	189864.3929	240451.9888	166900.4601	172647.1388	174190.9358	174137.4174	186281.003	180398.5205
OTU117	r__Root;k__Bacteria;p__Proteobacteria;c__Hydrogenophilalia	139.8391572	127.141213	123.5384754	91.81967128	102.6867891	106.6745753	100.9607476	98.0542307	106.003249	112.0928901	107.2403286	101.4361854
OTU118	r__Root;k__Bacteria;p__Proteobacteria;c__Oligoflexia	198.5067771	284.4499826	547.006884	641.2758933	274.4186284	859.3550023	266.9520943	181.4757531	1825.552278	158.784524	350.522674	185.0751165
OTU119	r__Root;k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	78.02284101	65.34784924	67.67759956	63.26877847	62.47137713	63.42812587	55.31630875	47.51858873	51.05378917	56.00523441	56.46531587	56.08584253
OTU120	r__Root;k__Bacteria;p__Spirochaetes	133.2176342	125.1361186	136.8591458	106.3006841	120.4743752	118.6394263	110.8871404	99.71360999	102.6816772	122.2307029	117.5704174	107.5999133
OTU121	r__Root;k__Bacteria;p__Spirochaetes;c__Spirochaetia	659.6518653	618.5716218	676.6041159	525.5648349	595.3685508	586.7582159	547.8181067	492.2699513	507.4623622	604.8070789	582.2930985	531.7133804
OTU122	r__Root;k__Bacteria;p__Synergistetes	102.0084978	93.5558818	95.9088268	62.6749199	81.71977944	72.46182864	70.58768233	75.16233915	74.96090489	90.66336696	83.03465443	81.43468402
OTU123	r__Root;k__Bacteria;p__Synergistetes;c__Synergistia	509.8109671	467.4604167	479.2433447	312.9634666	408.3411061	361.9247303	352.8535707	375.6231299	374.476468	453.0695711	414.9106428	407.0101425
OTU124	r__Root;k__Bacteria;p__Tenericutes	27.92152708	29.1194391	32.22742836	28.13975996	30.50528044	30.99328878	25.28260737	25.11696833	24.15315809	26.74569325	23.37401448	25.34884149
OTU125	r__Root;k__Bacteria;p__Tenericutes;c__Mollicutes	132.800895	129.2830183	152.1134619	133.8465855	147.4565105	145.452225	120.5590103	118.9096113	113.7125762	125.6511845	111.2235408	119.8049111
OTU126	r__Root;k__Bacteria;p__Thermodesulfobacteria	16.34543791	16.08632551	17.78954045	10.91786141	13.01845067	13.88691544	13.3200314	10.97453121	13.081252	15.2479299	13.08769725	12.93974678
OTU127	r__Root;k__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria	81.40305905	80.24934625	88.73285275	54.40658134	64.87742742	69.24237074	66.34563411	54.72180337	65.20122472	75.99238576	65.30717154	64.49463696
